Case_Number,Date,Buyout_Amount,Number_of_Tenants,Address,Buyout_Agreement_Source_Zipcode,Supervisor_District,Neighborhoods_Analysis_Boundaries,Location
B162466,07/25/2016,"$32,500.00",1,200 Block Of 12th Avenue,94118,1,Inner Richmond,"37.7835915890245, -122.470844646041"
B162468,07/25/2016,,,1200 Block Of Florida Street,94110,9,Mission,"37.751946184507, -122.409921423273"
B162469,07/25/2016,"$32,900.00",2,1400 Block Of Oakdale Avenue,94124,10,Bayview Hunters Point,"37.7329556345412, -122.387590806567"
B162405,07/22/2016,"$32,750.00",2,0 Block Of Cortland Avenue,94110,9,Bernal Heights,"37.7404496864085, -122.421267489444"
B162406,07/22/2016,,,500 Block Of 33rd Avenue,94121,1,Outer Richmond,"37.778728241984, -122.493301622753"
B162407,07/22/2016,,,1300 Block Of Mcallister Street,94115,5,Western Addition,"37.7783718580336, -122.434240837305"
B162401,07/21/2016,"$31,250.00",1,1000 Block Of Pierce Street,94115,5,Western Addition,"37.7793814653525, -122.435357598678"
B162402,07/21/2016,"$48,500.00",1,1000 Block Of Pierce Street,94115,5,Western Addition,"37.7793814653525, -122.435357598678"
B162399,07/20/2016,"$25,000.00",1,1200 Block Of Vallejo Street,94109,3,Russian Hill,"37.7973833842113, -122.417839988529"
B162400,07/20/2016,"$60,000.00",4,1200 Block Of 30th Avenue,94122,4,Sunset/Parkside,"37.7639887552563, -122.488906825253"
B162394,07/19/2016,,,400 Block Of Ofarrell Street,94102,6,Tenderloin,"37.7858903309874, -122.411725719958"
B162395,07/19/2016,,,400 Block Of Ofarrell Street,94102,6,Tenderloin,"37.7858903309874, -122.411725719958"
B162396,07/19/2016,,,400 Block Of Ofarrell Street,94102,6,Tenderloin,"37.7858903309874, -122.411725719958"
B162397,07/19/2016,"$95,000.00",3,2600 Block Of Hyde Street,94109,2,Russian Hill,"37.8054696791397, -122.420387742417"
B162398,07/19/2016,,,2200 Block Of Pine Street,94115,2,Pacific Heights,"37.7880566897815, -122.433247281566"
B162348,07/18/2016,"$140,000.00",2,0 Block Of Washburn Street,94103,6,South of Market,"37.7752362230299, -122.414406294387"
B162345,07/14/2016,"$50,000.00",1,400 Block Of Elizabeth Street,94114,8,Noe Valley,"37.7522391058613, -122.430833708522"
B162347,07/14/2016,,,600 Block Of Stockton Street,94108,3,Nob Hill,"37.7917657999121, -122.407489250454"
B162340,07/13/2016,,,200 Block Of Wheeler Avenue,94134,10,Bayview Hunters Point,"37.7125824781758, -122.399711876973"
B162341,07/13/2016,,,300 Block Of London Street,94112,11,Excelsior,"37.7235117573805, -122.434561678614"
B162342,07/13/2016,"$14,580.00",2,700 Block Of 16th Avenue,94118,1,Outer Richmond,"37.7739470072251, -122.474549426205"
B162343,07/13/2016,"$40,000.00",3,700 Block Of Clayton Street,94117,5,Haight Ashbury,"37.7679269320222, -122.448269733897"
B162344,07/13/2016,"$40,000.00",3,700 Block Of Clayton Street,94117,5,Haight Ashbury,"37.7679269320222, -122.448269733897"
B162297,07/12/2016,,,200 Block Of 9th Street,94103,6,South of Market,"37.774817064227, -122.412845031059"
B162339,07/12/2016,"$66,700.00",4,900 Block Of Central Avenue,94115,5,Lone Mountain/USF,"37.7783702230359, -122.445182906962"
B162346,07/12/2016,"$90,000.00",2,1500 Block Of Fulton Street,94117,5,Lone Mountain/USF,"37.7762763026745, -122.442299447306"
B162293,07/11/2016,,,1900 Block Of 15th Street,94114,8,Castro/Upper Market,"37.7662168893863, -122.42829350398"
B162294,07/11/2016,"$5,000.00",2,0 Block Of Kramer Place,94133,3,North Beach,"37.8020804249871, -122.408254699837"
B162295,07/11/2016,,,1800 Block Of Hyde Street,94109,3,Russian Hill,"37.7978079058684, -122.418697425014"
B162296,07/11/2016,"$7,000.00",1,2100 Block Of California Street,94115,5,Pacific Heights,"37.7893748865175, -122.429717207144"
B162290,07/08/2016,"$36,643.20",2,800 Block Of York Street,94110,9,Mission,"37.7584679965714, -122.40879783772"
B162291,07/08/2016,"$30,000.00",3,2000 Block Of Green Street,94123,2,Marina,"37.796524939147, -122.432847820606"
B162292,07/08/2016,"$117,000.00",1,3500 Block Of 17th Street,94110,8,Mission,"37.7631541223095, -122.425099107017"
B162278,07/07/2016,,,400 Block Of Silver Avenue,94112,11,Excelsior,"37.7286465773325, -122.427005249889"
B162279,07/07/2016,,,500 Block Of Oak Street,94102,5,Hayes Valley,"37.7742307091915, -122.428351459374"
B162280,07/07/2016,"$5,000.00",1,3300 Block Of Laguna Street,94123,2,Marina,"37.8019192286105, -122.431336142826"
B162281,07/07/2016,,,0 Block Of Pretor Way,94112,11,Excelsior,"37.7101747867875, -122.44247334859"
B162282,07/07/2016,,,1800 Block Of 15th Street,94103,8,Mission,"37.7663225314177, -122.424723870636"
B162283,07/07/2016,,,1800 Block Of 15th Street,94103,8,Mission,"37.7663225314177, -122.424723870636"
B162284,07/07/2016,,,1800 Block Of 15th Street,94103,8,Mission,"37.7663225314177, -122.424723870636"
B162286,07/07/2016,,,400 Block Of Ofarrell Street,94102,6,Tenderloin,"37.7858903309874, -122.411725719958"
B162287,07/07/2016,,,400 Block Of Ofarrell Street,94102,6,Tenderloin,"37.7858903309874, -122.411725719958"
B162288,07/07/2016,"$35,000.00",2,1800 Block Of 24th Avenue,94122,4,Sunset/Parkside,"37.753069088921, -122.481836048008"
B162289,07/07/2016,"$63,120.00",1,2400 Block Of 30th Avenue,94116,4,Sunset/Parkside,"37.7415946910896, -122.487480475643"
B162273,07/05/2016,,,300 Block Of Haight Street,94102,5,Hayes Valley,"37.7723661490425, -122.42796932761"
B162274,07/05/2016,,,300 Block Of Haight Street,94102,5,Hayes Valley,"37.7723661490425, -122.42796932761"
B162275,07/05/2016,,,1900 Block Of Divisadero Street,94115,2,Pacific Heights,"37.7876047793699, -122.44022828784"
B162276,07/05/2016,"$6,000.00",1,4200 Block Of 26th Street,94131,8,Noe Valley,"37.7479749897513, -122.434874223368"
B162277,07/05/2016,"$1,500.00",1,200 Block Of 9th Street,94103,6,South of Market,"37.774817064227, -122.412845031059"
B162271,07/01/2016,,,900 Block Of Capitol Avenue,94112,11,Oceanview/Merced/Ingleside,"37.7191266411467, -122.459261969912"
B162272,07/01/2016,,,100 Block Of Allison Street,94112,11,Excelsior,"37.7130055627714, -122.441926675697"
B162480,07/01/2016,"$14,880.00",2,400 Block Of Moscow Street,94112,11,Excelsior,"37.7205127281552, -122.428284036383"
B162209,06/30/2016,,,2400 Block Of Lake Street,94121,2,Seacliff,"37.7857764063498, -122.48568982131"
B162210,06/30/2016,"$12,500.00",1,0 Block Of 7th Avenue,94118,2,Inner Richmond,"37.7874460323203, -122.46575026324"
B162269,06/30/2016,,,0 Block Of Manchester Street,94110,9,Bernal Heights,"37.7459267909475, -122.414322140418"
B162270,06/30/2016,"$10,000.00",1,0 Block Of Stoneybrook Avenue,94112,11,Excelsior,"37.7300760174427, -122.421764183894"
B162202,06/29/2016,,,400 Block Of Ofarrell Street,94102,6,Tenderloin,"37.7858903309874, -122.411725719958"
B162203,06/29/2016,"$7,000.00",1,400 Block Of Ofarrell Street,94102,6,Tenderloin,"37.7858903309874, -122.411725719958"
B162206,06/29/2016,,,1700 Block Of Vallejo Street,94123,2,Pacific Heights,"37.7963225459407, -122.426060344087"
B162207,06/29/2016,,,2000 Block Of Sacramento Street,94109,2,Pacific Heights,"37.790716423709, -122.426614088781"
B162208,06/29/2016,,,2500 Block Of 35th Avenue,94116,4,Sunset/Parkside,"37.7395004835266, -122.49257190363"
B162190,06/28/2016,,,400 Block Of Ofarrell Street,94102,6,Tenderloin,"37.7858903309874, -122.411725719958"
B162191,06/28/2016,,,400 Block Of Ofarrell Street,94102,6,Tenderloin,"37.7858903309874, -122.411725719958"
B162192,06/28/2016,,,400 Block Of Ofarrell Street,94102,6,Tenderloin,"37.7858903309874, -122.411725719958"
B162193,06/28/2016,,,400 Block Of Ofarrell Street,94102,6,Tenderloin,"37.7858903309874, -122.411725719958"
B162194,06/28/2016,,,400 Block Of Ofarrell Street,94102,6,Tenderloin,"37.7858903309874, -122.411725719958"
B162195,06/28/2016,,,400 Block Of Ofarrell Street,94102,6,Tenderloin,"37.7858903309874, -122.411725719958"
B162196,06/28/2016,,,400 Block Of Ofarrell Street,94102,6,Tenderloin,"37.7858903309874, -122.411725719958"
B162197,06/28/2016,,,400 Block Of Ofarrell Street,94102,6,Tenderloin,"37.7858903309874, -122.411725719958"
B162198,06/28/2016,,,400 Block Of Ofarrell Street,94102,6,Tenderloin,"37.7858903309874, -122.411725719958"
B162199,06/28/2016,,,400 Block Of Ofarrell Street,94102,6,Tenderloin,"37.7858903309874, -122.411725719958"
B162201,06/28/2016,,,200 Block Of Mississippi Street,94107,10,Potrero Hill,"37.7633340014019, -122.394583028407"
B162204,06/28/2016,"$67,622.80",1,1100 Block Of Pacific Avenue,94133,3,Nob Hill,"37.7959719812416, -122.41381099252"
B162205,06/28/2016,,,3300 Block Of 22nd Street,94110,8,Mission,"37.7551642237752, -122.422303225165"
B162186,06/27/2016,"$15,000.00",2,100 Block Of Farallones Street,94112,11,Oceanview/Merced/Ingleside,"37.7140111161144, -122.457547776797"
B162187,06/27/2016,,,600 Block Of Ofarrell Street,94109,6,Tenderloin,"37.7853585502602, -122.415955969732"
B162188,06/27/2016,,,100 Block Of Precita Avenue,94110,9,Bernal Heights,"37.7471529748942, -122.417246254252"
B162189,06/27/2016,,,1500 Block Of 12th Avenue,94122,7,Inner Sunset,"37.7592342079658, -122.46926616217"
B162200,06/27/2016,,,0 Block Of Byxbee Street,94132,11,Oceanview/Merced/Ingleside,"37.7151880669374, -122.46973899251"
B162176,06/24/2016,,,0 Block Of Winfield Street,94110,9,Bernal Heights,"37.7445134946818, -122.4173657937"
B162177,06/24/2016,,,0 Block Of Pearl Street,94103,8,Mission,"37.7710192618345, -122.423870549171"
B162178,06/24/2016,,,600 Block Of 35th Avenue,94121,1,Outer Richmond,"37.7767418411519, -122.495311730007"
B162174,06/23/2016,,,1400 Block Of Bay Street,94123,2,Marina,"37.8033383548576, -122.430849026625"
B162180,06/23/2016,,,1100 Block Of Ingerson Avenue,94124,10,Bayview Hunters Point,"37.7206230720961, -122.395522244595"
B162181,06/23/2016,,,1400 Block Of Oakdale Avenue,94124,10,Bayview Hunters Point,"37.7329556345412, -122.387590806567"
B162182,06/23/2016,,,1700 Block Of Jenning Street,94124,10,Bayview Hunters Point,"37.729262779503, -122.386757463579"
B162179,06/22/2016,,,800 Block Of York Street,94110,9,Mission,"37.7584679965714, -122.40879783772"
B162183,06/22/2016,"$36,530.24",3,2400 Block Of 47th Avenue,94116,4,Sunset/Parkside,"37.7407908034652, -122.505556314021"
B162184,06/22/2016,"$100,000.00",2,3300 Block Of Scott Street,94123,2,Marina,"37.8006667212196, -122.441204489429"
B162185,06/22/2016,"$8,000.00",2,3300 Block Of Scott Street,94123,2,Marina,"37.8006667212196, -122.441204489429"
B162175,06/21/2016,"$44,137.54",1,500 Block Of Dolores Street,94110,8,Mission,"37.7606376836144, -122.425843697547"
B162068,06/20/2016,,,200 Block Of 9th Street,94103,6,South of Market,"37.774817064227, -122.412845031059"
B162069,06/20/2016,,,400 Block Of Amazon Avenue,94112,11,Excelsior,"37.7159002983151, -122.436591423789"
B162070,06/20/2016,,,1200 Block Of 20th Avenue,94122,4,Sunset/Parkside,"37.7644600433103, -122.478188743077"
B162064,06/17/2016,,,300 Block Of Day Street,94131,8,Noe Valley,"37.7426428182042, -122.429908735602"
B162065,06/17/2016,"$20,700.00",1,3500 Block Of California Street,94118,2,Presidio Heights,"37.7865706317071, -122.452592707342"
B162066,06/17/2016,"$100,000.00",2,200 Block Of Burrows Street,94134,9,Portola,"37.7284969512467, -122.405607831995"
B162067,06/17/2016,,,300 Block Of 10th Street,94103,6,South of Market,"37.7724811637675, -122.412311666163"
B162061,06/16/2016,"$18,000.00",1,2100 Block Of Ellis Street,94115,2,Western Addition,"37.7812186040386, -122.441050130126"
B162062,06/16/2016,,,400 Block Of Ofarrell Street,94102,6,Tenderloin,"37.7858903309874, -122.411725719958"
B162063,06/16/2016,,,400 Block Of Ofarrell Street,94102,6,Tenderloin,"37.7858903309874, -122.411725719958"
B162057,06/15/2016,,,500 Block Of Roosevelt Way,94114,8,Castro/Upper Market,"37.7628421259626, -122.444152293527"
B162058,06/15/2016,,,600 Block Of Stockton Street,94108,3,Nob Hill,"37.7917657999121, -122.407489250454"
B162059,06/15/2016,,,1700 Block Of Anza Street,94118,1,Inner Richmond,"37.7790247034224, -122.466824985157"
B162060,06/15/2016,"$30,025.81",2,3300 Block Of 22nd Street,94110,8,Mission,"37.7551642237752, -122.422303225165"
B162040,06/14/2016,,,0 Block Of University Street,94134,9,Portola,"37.7298931329641, -122.415552378463"
B162049,06/13/2016,,,100 Block Of Baker Street,94117,5,Haight Ashbury,"37.7722546953594, -122.440572356401"
B162050,06/13/2016,,,100 Block Of Noe Street,94114,8,Castro/Upper Market,"37.7670576556892, -122.433439075678"
B162051,06/13/2016,,,200 Block Of Columbus Avenue,94133,3,Chinatown,"37.7976703321054, -122.406492704736"
B162052,06/13/2016,"$22,597.00",6,400 Block Of Moscow Street,94112,11,Excelsior,"37.7205127281552, -122.428284036383"
B162055,06/13/2016,"$25,000.00",1,2300 Block Of Folsom Street,94110,9,Mission,"37.7597015511856, -122.414696971221"
B162056,06/13/2016,"$19,585.77",2,5800 Block Of Mission Street,94112,11,Excelsior,"37.7094275480453, -122.450664127243"
B161971,06/10/2016,,,200 Block Of Putnam Street,94110,9,Bernal Heights,"37.7363435463508, -122.411122016166"
B161972,06/10/2016,,,4100 Block Of California Street,94118,1,Inner Richmond,"37.7852804023396, -122.461894057508"
B161973,06/10/2016,,,4100 Block Of California Street,94118,1,Inner Richmond,"37.7852804023396, -122.461894057508"
B162041,06/10/2016,,,0 Block Of Liebig Street,94112,11,Outer Mission,"37.7089054045546, -122.456844245249"
B162042,06/10/2016,,,0 Block Of Liebig Street,94112,11,Outer Mission,"37.7089054045546, -122.456844245249"
B162043,06/10/2016,,,0 Block Of Liebig Street,94112,11,Outer Mission,"37.7089054045546, -122.456844245249"
B162044,06/10/2016,,,0 Block Of Liebig Street,94112,11,Outer Mission,"37.7089054045546, -122.456844245249"
B162045,06/10/2016,,,0 Block Of Liebig Street,94112,11,Outer Mission,"37.7089054045546, -122.456844245249"
B162046,06/10/2016,,,0 Block Of Liebig Street,94112,11,Outer Mission,"37.7089054045546, -122.456844245249"
B162047,06/10/2016,,,0 Block Of Liebig Street,94112,11,Outer Mission,"37.7089054045546, -122.456844245249"
B162048,06/10/2016,,,0 Block Of Liebig Street,94112,11,Outer Mission,"37.7089054045546, -122.456844245249"
B162053,06/10/2016,,,1000 Block Of Sanchez Street,94114,8,Noe Valley,"37.7519624381338, -122.429764001172"
B162054,06/10/2016,,,1900 Block Of Wawona Street,94116,4,Sunset/Parkside,"37.7371011808195, -122.488943743228"
B161968,06/09/2016,"$120,000.00",3,1200 Block Of Page Street,94117,5,Haight Ashbury,"37.7716208303978, -122.441356135336"
B161969,06/09/2016,"$74,000.00",1,500 Block Of Jersey Street,94114,8,Noe Valley,"37.7503482229756, -122.437315008974"
B161970,06/09/2016,,,100 Block Of Felton Street,94134,9,Portola,"37.7296995803101, -122.406105145049"
B161967,06/08/2016,,,800 Block Of Leavenworth Street,94109,3,Nob Hill,"37.7888452666742, -122.415346949038"
B161956,06/07/2016,,,700 Block Of Hayes Street,94102,5,Hayes Valley,"37.7762032094245, -122.428744875404"
B161966,06/07/2016,,,1300 Block Of Oak Street,94117,5,Haight Ashbury,"37.7725543591931, -122.441545634875"
B161955,06/06/2016,"$13,500.00",3,200 Block Of Bartlett Street,94110,9,Mission,"37.7529745869152, -122.419562415324"
B161902,06/03/2016,"$22,000.00",2,1900 Block Of Leavenworth Street,94133,3,Russian Hill,"37.798698352569, -122.417333487329"
B161903,06/03/2016,"$15,000.00",2,5000 Block Of Fulton Street,94121,1,Outer Richmond,"37.7725508353659, -122.485802007826"
B161872,06/02/2016,"$13,500.00",1,1200 Block Of Green Street,94109,3,Russian Hill,"37.798149290601, -122.420211765474"
B161873,06/02/2016,"$81,000.00",3,100 Block Of Fillmore Street,94117,5,Hayes Valley,"37.7709327763671, -122.430282421678"
B161874,06/02/2016,"$38,000.00",1,1600 Block Of Palou Avenue,94124,10,Bayview Hunters Point,"37.7345707088737, -122.391831742787"
B161864,06/01/2016,"$90,000.00",3,1600 Block Of Grove Street,94117,5,Lone Mountain/USF,"37.7751365743971, -122.44375821042"
B161858,05/31/2016,,,1900 Block Of California Street,94109,2,Pacific Heights,"37.7899016099277, -122.426449179517"
B161859,05/31/2016,,,1900 Block Of California Street,94109,2,Pacific Heights,"37.7899016099277, -122.426449179517"
B161860,05/31/2016,"$1,200.00",1,200 Block Of 9th Street,94103,6,South of Market,"37.774817064227, -122.412845031059"
B161861,05/31/2016,,,500 Block Of Stanyan Street,94117,5,Lone Mountain/USF,"37.7724217909412, -122.454115904228"
B161862,05/31/2016,,,1600 Block Of Bay Street,94123,2,Marina,"37.8030064344989, -122.434161235536"
B161863,05/31/2016,"$25,000.00",1,500 Block Of Mcallister Street,94102,5,Western Addition,"37.780047135691, -122.421081410565"
B161856,05/27/2016,,,1900 Block Of Divisadero Street,94115,2,Pacific Heights,"37.7876047793699, -122.44022828784"
B161857,05/27/2016,"$50,000.00",1,2700 Block Of Folsom Street,94110,9,Mission,"37.7532984475829, -122.41422876374"
B161827,05/26/2016,"$42,500.00",2,200 Block Of Missouri Street,94107,10,Potrero Hill,"37.763211108389, -122.3966546731"
B161828,05/26/2016,,,900 Block Of Pine Street,94108,3,Nob Hill,"37.7906987686679, -122.411621210288"
B161829,05/26/2016,"$56,993.00",1,900 Block Of Minnesota Street,94107,10,Potrero Hill,"37.7591210189731, -122.390401159698"
B161855,05/26/2016,"$70,000.00",3,1700 Block Of Golden Gate Avenue,94115,5,Western Addition,"37.7786720143518, -122.43939382488"
B161819,05/25/2016,,,1300 Block Of Palou Avenue,94124,10,Bayview Hunters Point,"37.7312794563625, -122.386266955922"
B161821,05/25/2016,"$46,792.00",4,2100 Block Of Golden Gate Avenue,94118,5,Lone Mountain/USF,"37.777832030666, -122.446012178222"
B161822,05/25/2016,"$82,588.00",3,2100 Block Of Golden Gate Avenue,94118,5,Lone Mountain/USF,"37.777832030666, -122.446012178222"
B161823,05/25/2016,,,2600 Block Of San Jose Avenue,94112,11,Oceanview/Merced/Ingleside,"37.7166111513736, -122.449918138426"
B161824,05/25/2016,"$15,000.00",2,4400 Block Of 23rd Street,94114,8,Noe Valley,"37.7524938522746, -122.441654969037"
B161825,05/25/2016,"$3,000.00",1,2500 Block Of Sutter Street,94115,2,Pacific Heights,"37.7849855298686, -122.442370811443"
B161810,05/24/2016,,,0 Block Of Concord Street,94112,11,Excelsior,"37.7127395196542, -122.442907764013"
B161818,05/24/2016,,,200 Block Of Turk Street,94102,6,Tenderloin,"37.7828450344745, -122.41322176637"
B161820,05/24/2016,,,4000 Block Of 18th Street,94114,8,Castro/Upper Market,"37.7610427982782, -122.433353754245"
B161808,05/23/2016,,,1700 Block Of Newcomb Avenue,94124,10,Bayview Hunters Point,"37.7367746862679, -122.392625758171"
B161809,05/23/2016,"$35,950.00",2,1700 Block Of Newcomb Avenue,94124,10,Bayview Hunters Point,"37.7367746862679, -122.392625758171"
B161811,05/23/2016,,,600 Block Of 19th Avenue,94121,1,Outer Richmond,"37.7756595099448, -122.47803579936"
B161812,05/23/2016,"$29,400.00",1,2600 Block Of Pine Street,94115,2,Pacific Heights,"37.7871644495305, -122.439404799208"
B161804,05/20/2016,,,200 Block Of Castro Street,94114,8,Castro/Upper Market,"37.7645102290716, -122.435425503562"
B161805,05/20/2016,,,700 Block Of Faxon Avenue,94112,7,West of Twin Peaks,"37.7267018501627, -122.460030876364"
B161806,05/20/2016,,,4700 Block Of Balboa Street,94121,1,Outer Richmond,"37.7752070095879, -122.509634364661"
B161807,05/20/2016,,,2300 Block Of 16th Avenue,94116,7,West of Twin Peaks,"37.7444171285171, -122.472949422594"
B161802,05/19/2016,,,0 Block Of Delta Street,94134,10,Visitacion Valley,"37.7188318762594, -122.406758261849"
B161803,05/19/2016,,,0 Block Of Delta Street,94134,10,Visitacion Valley,"37.7188318762594, -122.406758261849"
B161702,05/18/2016,"$1,000.00",1,200 Block Of 9th Street,94103,6,South of Market,"37.774817064227, -122.412845031059"
B161703,05/18/2016,,,700 Block Of Elizabeth Street,94114,8,Noe Valley,"37.7519490457809, -122.437469214013"
B161718,05/18/2016,,,4500 Block Of 18th Street,94114,8,Castro/Upper Market,"37.7605016741875, -122.440465074849"
B161704,05/17/2016,"$34,000.00",2,1200 Block Of 31st Avenue,94122,4,Sunset/Parkside,"37.7639348524231, -122.490119149109"
B161705,05/17/2016,,,2800 Block Of Folsom Street,94110,9,Mission,"37.7517086694029, -122.41393694174"
B161706,05/17/2016,"$71,500.00",4,0 Block Of Steiner Street,94117,8,Hayes Valley,"37.7696796844781, -122.431575371699"
B161707,05/17/2016,"$45,000.00",4,0 Block Of Steiner Street,94117,8,Hayes Valley,"37.7696796844781, -122.431575371699"
B161708,05/17/2016,"$45,000.00",3,0 Block Of Steiner Street,94117,8,Hayes Valley,"37.7696796844781, -122.431575371699"
B162071,05/16/2016,"$52,140.00",2,600 Block Of Mansell Street,94134,9,Portola,"37.7200275319082, -122.407551043314"
B161669,05/13/2016,"$53,500.00",1,1800 Block Of Union Street,94123,2,Marina,"37.7977665779326, -122.429725516031"
B161670,05/13/2016,"$25,000.00",1,1800 Block Of Union Street,94123,2,Marina,"37.7977665779326, -122.429725516031"
B161604,05/12/2016,"$18,000.00",7,200 Block Of Genebern Way,94112,9,Bernal Heights,"37.7324547347554, -122.42524827109"
B161605,05/12/2016,,,1900 Block Of Stockton Street,94133,3,North Beach,"37.8034715795016, -122.409866489776"
B161590,05/11/2016,,,0 Block Of Chattanooga Street,94114,8,Noe Valley,"37.7557656066078, -122.42664161534"
B161591,05/11/2016,,,0 Block Of Chattanooga Street,94114,8,Noe Valley,"37.7557656066078, -122.42664161534"
B161592,05/11/2016,"$100,000.00",4,0 Block Of Chattanooga Street,94114,8,Noe Valley,"37.7557656066078, -122.42664161534"
B161593,05/11/2016,,,3000 Block Of Mission Street,94110,9,Mission,"37.7485954396366, -122.418024677549"
B161594,05/11/2016,,,500 Block Of Grand View Avenue,94114,8,Noe Valley,"37.7511853620541, -122.442744572086"
B161595,05/11/2016,,,500 Block Of Grand View Avenue,94114,8,Noe Valley,"37.7511853620541, -122.442744572086"
B161596,05/11/2016,,,500 Block Of Grand View Avenue,94114,8,Noe Valley,"37.7511853620541, -122.442744572086"
B161587,05/10/2016,"$21,400.00",2,700 Block Of 19th Avenue,94121,1,Outer Richmond,"37.7737999285126, -122.477764458229"
B161588,05/10/2016,"$50,000.00",1,1500 Block Of Fulton Street,94117,5,Lone Mountain/USF,"37.7762763026745, -122.442299447306"
B161597,05/10/2016,,,400 Block Of Lombard Street,94133,3,North Beach,"37.8033889345376, -122.408958166251"
B161598,05/10/2016,"$97,050.00",5,500 Block Of 38th Avenue,94121,1,Outer Richmond,"37.7784899479136, -122.498662035394"
B161585,05/09/2016,"$65,000.00",1,0 Block Of Ashbury Street,94117,5,Lone Mountain/USF,"37.7751245493965, -122.448041172346"
B161586,05/09/2016,,1,0 Block Of Ashbury Street,94117,5,Lone Mountain/USF,"37.7751245493965, -122.448041172346"
B161599,05/09/2016,,,3600 Block Of 20th Street,94110,8,Mission,"37.7584863039196, -122.422385383102"
B161600,05/09/2016,,,3600 Block Of 20th Street,94110,8,Mission,"37.7584863039196, -122.422385383102"
B161601,05/09/2016,,,3600 Block Of 20th Street,94110,8,Mission,"37.7584863039196, -122.422385383102"
B161602,05/09/2016,,,3600 Block Of 20th Street,94110,8,Mission,"37.7584863039196, -122.422385383102"
B161603,05/09/2016,,,3600 Block Of 20th Street,94110,8,Mission,"37.7584863039196, -122.422385383102"
B161581,05/06/2016,,,300 Block Of 5th Avenue,94118,1,Inner Richmond,"37.7820328554295, -122.463211510027"
B161582,05/06/2016,"$39,255.00",4,2600 Block Of Yorba Street,94116,4,Sunset/Parkside,"37.7346752560911, -122.494982314133"
B161583,05/06/2016,,,2600 Block Of Yorba Street,94116,4,Sunset/Parkside,"37.7346752560911, -122.494982314133"
B161584,05/06/2016,,,2600 Block Of Yorba Street,94116,4,Sunset/Parkside,"37.7346752560911, -122.494982314133"
B161536,05/05/2016,,,100 Block Of Albion Street,94110,8,Mission,"37.7644531014245, -122.422745150632"
B161535,05/04/2016,,,0 Block Of Parsons Street,94118,1,Lone Mountain/USF,"37.775157860181, -122.45527829161"
B161537,05/04/2016,"$10,000.00",1,200 Block Of 9th Street,94103,6,South of Market,"37.774817064227, -122.412845031059"
B161538,05/04/2016,,,200 Block Of 9th Street,94103,6,South of Market,"37.774817064227, -122.412845031059"
B161539,05/04/2016,,,400 Block Of 33rd Avenue,94121,1,Outer Richmond,"37.7806543962468, -122.493444371913"
B161532,05/03/2016,,,200 Block Of Waller Street,94102,5,Hayes Valley,"37.7715422276259, -122.427802792635"
B161527,05/02/2016,"$30,000.00",2,1300 Block Of 12th Avenue,94122,5,Inner Sunset,"37.7629680699234, -122.46938781189"
B161533,05/02/2016,,,0 Block Of Stark Street,94133,3,Chinatown,"37.7973093117107, -122.408254403773"
B161534,05/02/2016,"$30,000.00",5,2900 Block Of Fulton Street,94118,1,Inner Richmond,"37.7737461416148, -122.463227465331"
B161523,04/29/2016,,,1500 Block Of 42nd Avenue,94122,4,Sunset/Parkside,"37.7578175842703, -122.501370729768"
B161528,04/29/2016,,,1500 Block Of 19th Street,94107,10,Potrero Hill,"37.7612679040713, -122.397860212338"
B161529,04/29/2016,"$11,780.00",2,2900 Block Of 23rd Street,94110,9,Mission,"37.7543133192677, -122.411588985129"
B161516,04/28/2016,,,0 Block Of Day Street,94110,8,Noe Valley,"37.7431291379962, -122.423681393686"
B161517,04/28/2016,,,0 Block Of Day Street,94110,8,Noe Valley,"37.7431291379962, -122.423681393686"
B161518,04/28/2016,,,0 Block Of Day Street,94110,8,Noe Valley,"37.7431291379962, -122.423681393686"
B161519,04/28/2016,,,0 Block Of Day Street,94110,8,Noe Valley,"37.7431291379962, -122.423681393686"
B161520,04/28/2016,,,0 Block Of Day Street,94110,8,Noe Valley,"37.7431291379962, -122.423681393686"
B161521,04/28/2016,"$19,000.00",3,0 Block Of Cayuga Avenue,94112,8,Outer Mission,"37.7312954703636, -122.430149661272"
B161522,04/28/2016,"$30,000.00",3,0 Block Of Pearl Street,94103,8,Mission,"37.7702165879598, -122.423932587136"
B161470,04/27/2016,,,0 Block Of Forest View Drive,94132,7,Sunset/Parkside,"37.7333453278261, -122.483774152244"
B161471,04/27/2016,"$21,597.00",2,2100 Block Of 26th Avenue,94116,4,Sunset/Parkside,"37.7473846972967, -122.483447784191"
B160782,04/26/2016,"$30,000.00",1,0 Block Of Salmon Street,94133,3,Nob Hill,"37.7965397453761, -122.412680954899"
B161472,04/26/2016,,,2800 Block Of 22nd Street,94110,9,Mission,"37.7558052682174, -122.411730086221"
B161473,04/26/2016,,,2900 Block Of 22nd Street,94110,9,Mission,"37.7556779246215, -122.413835547807"
B161418,04/25/2016,,,300 Block Of San Miguel Street,94112,11,Oceanview/Merced/Ingleside,"37.7192738925387, -122.448880383205"
B161419,04/25/2016,"$50,000.00",2,0 Block Of Cumberland Street,94110,8,Mission,"37.7590420499841, -122.424722931348"
B161420,04/25/2016,,,2100 Block Of Leavenworth Street,94133,2,Russian Hill,"37.800813865957, -122.417624695812"
