Fiscal Year,Related Gov't Units,Organization Group Code,Organization Group,Department Code,Department,Program Code,Program,Character Code,Character,Object Code,Object,Sub-object Code,Sub-object,Fund Type Code,Fund Type,Fund Code,Fund,Fund Category Code,Fund Category,Job Family,Job,FTE
2016,No,05,Culture & Recreation,WAR,War Memorial,EED,Operations & Maintenance,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,2S,Special Revenue Funds,2SWMF,War Memorial Fund,1,Operating,"Budget, Admn & Stats Analysis",Senior Management Assistant,2
2016,No,05,Culture & Recreation,LIB,Public Library,FAL,Children's Baseline,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,2S,Special Revenue Funds,2SLIB,Public Library Fund,1,Operating,Library,Librarian 3,2
2016,No,03,Human Welfare & Neighborhood Development,DSS,Human Services,CGR,Public Conservator,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Turnover Allowance/Adjustment,Attrition Savings - Miscellaneous,-2.09
2016,Yes,06,General Administration & Finance,RET,Retirement System,FDD,Retirement Services,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,7P,Pension Trust Funds,7PRET,Employees' Retirement System,1,Operating,Management,Manager III,1
2016,No,01,Public Protection,FIR,Fire Department,API,Prevention & Investigation,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Public Safety Inspection,Fire Safety Inspector 2,9
2016,No,02,"Public Works, Transportation & Commerce",CWP,PUC Wastewater Enterprise,BDC,Wastewater Treatment,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5C,PUC Wastewater Funds,5CAAA,Wastewater Operating Fund,1,Operating,Turnover Allowance/Adjustment,Attrition Savings - Miscellaneous,-36.89
2016,No,03,Human Welfare & Neighborhood Development,ENV,Environment,CIU,Environment-Outreach,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,2S,Special Revenue Funds,2SENV,Environmental Protection Program Fund,4,Grants,Energy & Environment,Principal Environ Specialist,0.14
2016,No,01,Public Protection,SHF,Sheriff,AFC,Custody,001,Salaries,002,Permanent Salaries-Uniform,00201,Uniform-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Correction & Detention,Sheriff's Lieutenant,18
2016,No,06,General Administration & Finance,ASR,Assessor/Recorder,FDJ,Real Property,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Management,Manager IV,1
2016,No,05,Culture & Recreation,REC,Recreation and Park Commission,EAP,Parks,001,Salaries,005,Temp Salaries-Misc,00501,Temp-Regular-Misc,1G,General Fund,1GAGF,General Fund,1,Operating,Turnover Allowance/Adjustment,Temporary Positions,8.56
2016,No,04,Community Health,DPH,Public Health,FAL,Children's Baseline,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,"Lab, Pharmacy & Med Techs",Medical Evaluations Assistant,4.6
2016,No,01,Public Protection,POL,Police,ACP,Work Order Services,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,5,Work Orders/Overhead,"Budget, Admn & Stats Analysis",Senior Administrative Analyst,1
2016,No,06,General Administration & Finance,HRD,Human Resources,FC5,Recruit/ Assess/ Client Services,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Personnel,Senior Personnel Clerk,1
2016,No,02,"Public Works, Transportation & Commerce",DPW,General Services Agency - Public Works,BA2,Street And Sewer Repair,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,2S,Special Revenue Funds,2SGTF,Parking & Traffic Gasoline Tax Fund,1,Operating,Journeyman Trade,"Operating Engineer, Universal",1
2016,No,02,"Public Works, Transportation & Commerce",DPW,General Services Agency - Public Works,BAA,Engineering,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,2S,Special Revenue Funds,2SPWF,"Public Works, Transp. & Commerce Fund",5,Work Orders/Overhead,"Budget, Admn & Stats Analysis",Senior Administrative Analyst,2
2016,No,02,"Public Works, Transportation & Commerce",WTR,PUC Water Department,BDA,Administration,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5W,PUC Water Department Funds,5WAAA,Water Operating Fund,1,Operating,Turnover Allowance/Adjustment,Attrition Savings - Miscellaneous,-4.1
2016,No,06,General Administration & Finance,TTX,Treasurer/Tax Collector,FEG,Management,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,2,Annual Projects,"Budget, Admn & Stats Analysis",Senior Administrative Analyst,1
2016,No,01,Public Protection,FIR,Fire Department,AEC,Fire Suppression,001,Salaries,002,Permanent Salaries-Uniform,00201,Uniform-Regular,5P,Port Of San Francisco Funds,5PAAA,Port Operating Fund,1,Operating,Fire Services,Marine Engineer Of Fire Boats,3
2016,No,06,General Administration & Finance,ADM,General Services Agency - City Admin,BK6,Treasure Island,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,5,Work Orders/Overhead,"Budget, Admn & Stats Analysis",Senior Administrative Analyst,4
2016,No,05,Culture & Recreation,FAM,Fine Arts Museum,EEC,Oper & Maint Of Museums,001,Salaries,005,Temp Salaries-Misc,00501,Temp-Regular-Misc,1G,General Fund,1GAGF,General Fund,1,Operating,Turnover Allowance/Adjustment,Temporary Positions,2.82
2016,No,01,Public Protection,POL,Police,ACB,Investigations,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Sub-Professional Engineering,Graphic Artist,1
2016,No,06,General Administration & Finance,HRD,Human Resources,FC5,Recruit/ Assess/ Client Services,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Personnel,Personnel Analyst,1
2016,No,04,Community Health,DPH,Public Health,DPB,Environmental Health Services,001,Salaries,005,Temp Salaries-Misc,00501,Temp-Regular-Misc,1G,General Fund,1GAGF,General Fund,5,Work Orders/Overhead,Turnover Allowance/Adjustment,Temporary Positions,0.26
2016,No,02,"Public Works, Transportation & Commerce",DBI,Department of Building Inspection,BIS,Inspection Services,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,2S,Special Revenue Funds,2SBIF,Building Inspection Fund,1,Operating,Construction Inspection,Permit Technician I,2
2016,No,02,"Public Works, Transportation & Commerce",DPW,General Services Agency - Public Works,BAR,Building Repair And Maintenance,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,5,Work Orders/Overhead,Journeyman Trade,Plumber,11
2016,No,04,Community Health,DPH,Public Health,DPD,Comm Hlth - Prevention - Disease Control,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,2S,Special Revenue Funds,2SCHS,Community Health Services Fund,4,Grants,"Payroll, Billing & Accounting",Health Care Billing Clerk 1,1.12
2016,No,01,Public Protection,ECD,Department of Emergency Management,BIV,Emergency Services,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,2S,Special Revenue Funds,2SPPF,Public Protection Fund,4,Grants,"Budget, Admn & Stats Analysis",Senior Administrative Analyst,2
2016,No,02,"Public Works, Transportation & Commerce",AIR,Airport Commission,BG4,Chief Operating Officer,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5A,SF International Airport Funds,5AAAA,Airport Operating Fund,1,Operating,"Budget, Admn & Stats Analysis",Senior Administrative Analyst,1
2016,No,04,Community Health,DPH,Public Health,DA5,Laguna Honda - Long Term Care,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5L,Laguna Honda Hospital Funds,5LAAA,Laguna Honda Operating Fund,1,Operating,"Budget, Admn & Stats Analysis",Management Assistant,1
2016,No,04,Community Health,DPH,Public Health,DPM,Comm Hlth - Prev - Maternal & Child Hlth,001,Salaries,005,Temp Salaries-Misc,00501,Temp-Regular-Misc,1G,General Fund,1GAGF,General Fund,1,Operating,Turnover Allowance/Adjustment,Temporary Positions,0.35
2016,No,02,"Public Works, Transportation & Commerce",AIR,Airport Commission,BG6,Facilities,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5A,SF International Airport Funds,5AAAA,Airport Operating Fund,1,Operating,Journeyman Trade,Pipe Welder,1
2016,No,04,Community Health,DPH,Public Health,DMS,Substance Abuse - Community Care,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Turnover Allowance/Adjustment,Attrition Savings - Miscellaneous,-7.71
2016,No,04,Community Health,DPH,Public Health,DA5,Laguna Honda - Long Term Care,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5L,Laguna Honda Hospital Funds,5LAAA,Laguna Honda Operating Fund,1,Operating,"Payroll, Billing & Accounting",Chf Payroll & Personnel Clerk,1
2016,No,04,Community Health,DPH,Public Health,D5E,SFGH - Emergency - Emergency,001,Salaries,004,Permanent Salaries-Nurses,00401,Nurses-Regular,5H,General Hospital Medical Center Funds,5HAAA,General Hopsital Operating Fund,1,Operating,Nursing,Nurse Manager,2
2016,No,02,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,BE3,"Security, Safety, Training & Enforcement",001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5M,MTA Municipal Railway Funds,5MAAA,Muni Operating Fund,1,Operating,Street Transit,Transit Fare Inspector,60
2016,No,02,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,BE3,"Security, Safety, Training & Enforcement",001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5N,MTA Parking & Traffic Funds,5NAAA,Parking & Traffic Operating Fund,1,Operating,Protection & Apprehension,Parking Enforcement Admin,3
2016,No,03,Human Welfare & Neighborhood Development,DSS,Human Services,CGS,Public Guardian,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Appraisal & Taxation,Senior Estate Investigator,2
2016,No,03,Human Welfare & Neighborhood Development,ENV,Environment,CIG,Environment,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,2S,Special Revenue Funds,2SPWF,"Public Works, Transp. & Commerce Fund",1,Operating,"Budget, Admn & Stats Analysis",Pr Administrative Analyst,0.54
2016,No,04,Community Health,DPH,Public Health,DHP,Primary Care - Ambu Care - Health Cntrs,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Management,Manager II,1.6
2016,No,04,Community Health,DPH,Public Health,FAM,Mental Health - Children's Program,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Med Therapy & Auxiliary,"Dir Of Act, Therapy & Vol Svcs",1
2016,No,05,Culture & Recreation,REC,Recreation and Park Commission,ECD,Structural Maintenance,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,2S,Special Revenue Funds,2SOSP,Open Space & Park Fund,1,Operating,Supervisory-Labor & Trade,Chief Stationary Engineer,1
2016,No,04,Community Health,DPH,Public Health,DMS,Substance Abuse - Community Care,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Management,Manager III,1
2016,No,04,Community Health,DPH,Public Health,DHA,Central Administration,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Medical & Dental,Supervising Physician Spec,1
2016,No,04,Community Health,DPH,Public Health,D1P,SFGH - Acute Care - Psychiatry,001,Salaries,004,Permanent Salaries-Nurses,00401,Nurses-Regular,5H,General Hospital Medical Center Funds,5HAAA,General Hopsital Operating Fund,1,Operating,Nursing,Special Nurse,3.14
2016,No,05,Culture & Recreation,REC,Recreation and Park Commission,EAP,Parks,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,5,Work Orders/Overhead,Turnover Allowance/Adjustment,Estimated Project Funding - Misc,3.5
2016,No,02,"Public Works, Transportation & Commerce",AIR,Airport Commission,BG4,Chief Operating Officer,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5A,SF International Airport Funds,5AAAA,Airport Operating Fund,1,Operating,Museum & Cultural Affairs,Curator 2,3
2016,No,04,Community Health,DPH,Public Health,DHA,Central Administration,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,2,Annual Projects,Information Systems,IS Business Analyst-Senior,3
2016,No,06,General Administration & Finance,CON,Controller,FEB,"Management, Budget And Analysis",001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Turnover Allowance/Adjustment,Attrition Savings - Miscellaneous,-2.73
2016,No,04,Community Health,DPH,Public Health,DA5,Laguna Honda - Long Term Care,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5L,Laguna Honda Hospital Funds,5LAAA,Laguna Honda Operating Fund,1,Operating,Turnover Allowance/Adjustment,Attrition Savings - Miscellaneous,-150.95
2016,No,04,Community Health,DPH,Public Health,DPD,Comm Hlth - Prevention - Disease Control,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,"Clerical, Secretarial & Steno",Principal Clerk,1
2016,No,02,"Public Works, Transportation & Commerce",AIR,Airport Commission,BG4,Chief Operating Officer,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5A,SF International Airport Funds,5AAAA,Airport Operating Fund,1,Operating,Information Systems,IS Project Director,8
2016,No,05,Culture & Recreation,REC,Recreation and Park Commission,EAP,Parks,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Housekeeping & Laundry,Custodial Assistant Supervisor,10
2016,No,06,General Administration & Finance,HRD,Human Resources,FC5,Recruit/ Assess/ Client Services,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Management,Manager III,4
2016,No,05,Culture & Recreation,LIB,Public Library,EGD,Collection Technical Services,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,2S,Special Revenue Funds,2SLIB,Public Library Fund,1,Operating,Library,Library Technical Assistant 1,15.2
2016,No,04,Community Health,DPH,Public Health,DHA,Central Administration,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,"Budget, Admn & Stats Analysis",Junior Administrative Analyst,0.53
2016,No,02,"Public Works, Transportation & Commerce",DPW,General Services Agency - Public Works,BAT,Street Use Management,001,Salaries,005,Temp Salaries-Misc,00501,Temp-Regular-Misc,1G,General Fund,1GAGF,General Fund,1,Operating,Turnover Allowance/Adjustment,Temporary Positions,0.22
2016,No,04,Community Health,DPH,Public Health,DHA,Central Administration,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Med Therapy & Auxiliary,Health Program Coordinator 1,0.77
2016,No,02,"Public Works, Transportation & Commerce",CWP,PUC Wastewater Enterprise,BCV,Strategic Planning/Compliance,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5C,PUC Wastewater Funds,5CAAA,Wastewater Operating Fund,1,Operating,Management,Manager VII,1
2016,No,01,Public Protection,FIR,Fire Department,AAD,Administration & Support Services,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Personnel,Personnel Analyst,2
2016,No,06,General Administration & Finance,CPC,City Planning,FAH,Citywide Planning,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,3,Continuing Projects,Professional Engineering,Planner 2,2
2016,No,02,"Public Works, Transportation & Commerce",CWP,PUC Wastewater Enterprise,BDC,Wastewater Treatment,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5C,PUC Wastewater Funds,5CAAA,Wastewater Operating Fund,1,Operating,Supervisory-Labor & Trade,Maintenance Planner,6
2016,No,02,"Public Works, Transportation & Commerce",PUC,PUC Public Utilities Commission,BCE,Customer Services,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5W,PUC Water Department Funds,5WPUC,PUC Operating Fund,1,Operating,"Budget, Admn & Stats Analysis",Pr Administrative Analyst,1
2016,No,04,Community Health,DPH,Public Health,DHH,Health At Home,001,Salaries,004,Permanent Salaries-Nurses,00401,Nurses-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Nursing,Special Nurse,0.2
2016,No,02,"Public Works, Transportation & Commerce",CWP,PUC Wastewater Enterprise,BDC,Wastewater Treatment,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5C,PUC Wastewater Funds,5CAAA,Wastewater Operating Fund,1,Operating,Professional Engineering,Eng/Arch/Landscape Arch Sr,4
2016,No,04,Community Health,DPH,Public Health,DPC,Comm Hlth - Prevention - Aids,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,2S,Special Revenue Funds,2SCHS,Community Health Services Fund,4,Grants,Information Systems,IS Business Analyst,0.5
2016,No,03,Human Welfare & Neighborhood Development,DSS,Human Services,CAO,Administrative Support,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,"Budget, Admn & Stats Analysis",Administrative Analyst,12.62
2016,No,05,Culture & Recreation,ART,Arts Commission,EES,Gallery,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,2,Annual Projects,Museum & Cultural Affairs,Curator 3,1
2016,No,02,"Public Works, Transportation & Commerce",DPW,General Services Agency - Public Works,BAZ,Street Environmental Services,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,2S,Special Revenue Funds,2SGTF,Parking & Traffic Gasoline Tax Fund,1,Operating,Journeyman Trade,Truck Driver,25
2016,No,02,"Public Works, Transportation & Commerce",WTR,PUC Water Department,BDK,Water Transmission/ Distribution,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5W,PUC Water Department Funds,5WAAA,Water Operating Fund,1,Operating,Supervisory-Labor & Trade,Water Meter Shop Supervisor 1,1
2016,No,04,Community Health,DPH,Public Health,DA5,Laguna Honda - Long Term Care,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5L,Laguna Honda Hospital Funds,5LAAA,Laguna Honda Operating Fund,1,Operating,Health & Sanitation Inspection,Senior Industrial Hygienist,0.77
2016,No,02,"Public Works, Transportation & Commerce",CWP,PUC Wastewater Enterprise,BCV,Strategic Planning/Compliance,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5C,PUC Wastewater Funds,5CAAA,Wastewater Operating Fund,1,Operating,Journeyman Trade,Electr Instrmntn Tech Wtr Poll,1
2016,No,05,Culture & Recreation,REC,Recreation and Park Commission,EAP,Parks,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Agriculture & Horticulture,Municipal Stadium Groundskpr,3
2016,No,02,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,BE6,Taxi Services,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5O,MTA Taxi Commission,5OAAA,Taxi Commission Operating Fund,1,Operating,Street Transit,Permit And Citation Clerk,2
2016,No,02,"Public Works, Transportation & Commerce",AIR,Airport Commission,BG8,Bureau Of Design And Construction,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5A,SF International Airport Funds,5AAAA,Airport Operating Fund,1,Operating,Journeyman Trade,Senior Water Service Inspector,1
2016,No,04,Community Health,DPH,Public Health,D6P,SFGH - Long Term Care - Rf Psychiatry,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5H,General Hospital Medical Center Funds,5HAAA,General Hopsital Operating Fund,1,Operating,Human Services,"Marriage, Family & Child Cnslr",1
2016,No,01,Public Protection,POL,Police,AC5,Airport Police,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5A,SF International Airport Funds,5AAAA,Airport Operating Fund,1,Operating,Turnover Allowance/Adjustment,Attrition Savings - Miscellaneous,-12.88
2016,No,02,"Public Works, Transportation & Commerce",DPW,General Services Agency - Public Works,BAR,Building Repair And Maintenance,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,5,Work Orders/Overhead,Administrative-Labor & Trades,Bldgs & Grounds Maint Supt,3
2016,No,04,Community Health,DPH,Public Health,DHA,Central Administration,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Medical & Dental,Senior Physician Specialist,0.8
2016,No,02,"Public Works, Transportation & Commerce",PRT,Port,BKY,Maintenance,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5P,Port Of San Francisco Funds,5PAAA,Port Operating Fund,1,Operating,"Budget, Admn & Stats Analysis",Senior Administrative Analyst,1
2016,No,04,Community Health,DPH,Public Health,DHP,Primary Care - Ambu Care - Health Cntrs,001,Salaries,004,Permanent Salaries-Nurses,00401,Nurses-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Nursing,Nurse Practitioner,23.6
2016,No,05,Culture & Recreation,LIB,Public Library,EGD,Collection Technical Services,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,2S,Special Revenue Funds,2SLIB,Public Library Fund,1,Operating,Skilled Labor,Book Repairer,3
2016,No,04,Community Health,DPH,Public Health,DMF,Forensics - Ambulatory Care,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Management,Manager IV,1
2016,No,01,Public Protection,ECD,Department of Emergency Management,BIR,Emergency Communications,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Information Systems,IS Administrator 2,1
2016,No,02,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,BE2,Parking & Traffic,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5N,MTA Parking & Traffic Funds,5NAAA,Parking & Traffic Operating Fund,1,Operating,Sub-Professional Engineering,Traffic Sign Manager,1
2016,No,02,"Public Works, Transportation & Commerce",AIR,Airport Commission,BG6,Facilities,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5A,SF International Airport Funds,5AAAA,Airport Operating Fund,1,Operating,Purchasing & Storekeeping,Inventory Clerk,1
2016,No,04,Community Health,DPH,Public Health,DMM,Mental Health - Community Care,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,2S,Special Revenue Funds,2SCHS,Community Health Services Fund,3,Continuing Projects,Public Health,Epidemiologist 2,4
2016,No,06,General Administration & Finance,REG,Elections,FCH,Elections,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Personnel,Payroll Clerk,1
